"Task ID","Task Name","Start Date","Due Date","Date Created","ID RADAR (drop down)","Ring (drop down)","Operations Priority (drop down)","Action plan required (checkbox)","Budget (currency)"
"2jp7k30","Web Authentication Stantard","","","Tuesday, February 15th 2022, 1:05:59 pm +01:00",2022.1,"Assess","Normal","",""
"21pch89","Product Information Management Tools","","","Tuesday, March 1st 2022, 10:07:00 am +01:00",2022.1,"Assess","Urgent","",""
"2jp7h8z","Azure / Amazon / Google Cloud Search","","","Tuesday, February 15th 2022, 1:03:35 pm +01:00",2022.1,"Assess","Urgent","",""
"21pcw9e","Optimizely","","","Tuesday, March 1st 2022, 10:41:17 am +01:00",2022.1,"Assess","High","",""
"2jp7hf4","Contentful","","","Tuesday, February 15th 2022, 1:03:49 pm +01:00",2022.1,"Assess","Normal","",""
"2jp7jtc","Sitecore","","","Tuesday, February 15th 2022, 1:05:32 pm +01:00",2022.1,"Trial","Normal","",""
"2jp7hbb","Bloomreach - Search & Merchandising","","","Tuesday, February 15th 2022, 1:03:41 pm +01:00",2022.1,"Adopt","Urgent","true",""
"2jp7hdp","commercetools","","","Tuesday, February 15th 2022, 1:03:46 pm +01:00",2022.1,"Adopt","Normal","true",""
"2jp7jpv","Salesforce Commerce Cloud (B2B)","","","Tuesday, February 15th 2022, 1:05:26 pm +01:00",2022.1,"Adopt","Urgent","true",""
"2jp7hun","Google Assistant","","","Tuesday, February 15th 2022, 1:04:15 pm +01:00",2022.1,"Adopt","High","true",""
"2jp7h2w","Amazon Alexa","","","Tuesday, February 15th 2022, 1:03:21 pm +01:00",2022.1,"Adopt","High","true",""
"2jp7hyc","Ibexa","","","Tuesday, February 15th 2022, 1:04:28 pm +01:00",2022.1,"Adopt","Urgent","",""
"2jp7h1v","Adobe EC - Target","","","Tuesday, February 15th 2022, 1:03:19 pm +01:00",2022.1,"Adopt","High","",""
"2jp7hn5","Elastic - APM","","","Tuesday, February 15th 2022, 1:04:03 pm +01:00",2022.1,"Adopt","Urgent","",""
"2jp7hpm","Elastic - SIEM","","","Tuesday, February 15th 2022, 1:04:05 pm +01:00",2022.1,"Adopt","Normal","",""
"2jp7jd3","OpenText - DAM","","","Tuesday, February 15th 2022, 1:05:07 pm +01:00",2022.1,"Adopt","High","",""
"21gtzng","GitHub Copilot","","","Monday, February 28th 2022, 4:43:29 pm +01:00",2023.1,"Trial","Low","",""
"2jp7hfy","Coremedia","","","Tuesday, February 15th 2022, 1:03:50 pm +01:00",2022.7,"Assess","Normal","",""
"2jp7hvr","Google Workspace","","","Tuesday, February 15th 2022, 1:04:19 pm +01:00",2022.7,"Assess","High","",""
"2jp7jex","Oracle - Content Management Cloud","","","Tuesday, February 15th 2022, 1:05:11 pm +01:00",2022.7,"Assess","","",""
"2jp7jw7","Stencil JS","","","Tuesday, February 15th 2022, 1:05:41 pm +01:00",2022.1,"Assess","Low","",""
"2jp7jwe","Strapi","","","Tuesday, February 15th 2022, 1:05:42 pm +01:00",2022.7,"Assess","Low","",""
"2jp7jx9","Svelte","","","Tuesday, February 15th 2022, 1:05:44 pm +01:00",2022.1,"Assess","","",""
"865bv6hwp","Octopia","","","Wednesday, March 1st 2023, 12:19:47 pm +01:00",2023.1,"Assess","Urgent","",""
"865bzmhcf","Moddo","","","Tuesday, March 21st 2023, 10:54:16 am +01:00",2023.1,"Assess","","",""
"865bzmhdy","CastorRetail","","","Tuesday, March 21st 2023, 10:54:30 am +01:00",2023.1,"Assess","","",""
"865bzmhfv","Etendo-OpenBravo","","","Tuesday, March 21st 2023, 10:54:47 am +01:00",2023.1,"Assess","","",""
"3kcaaru","Cast Imaging","","","Tuesday, October 11th 2022, 11:09:35 am +02:00",2022.7,"Adopt","Normal","",9000
"3kcd52w","Cast Highlight","","","Tuesday, October 11th 2022, 5:50:22 pm +02:00",2022.7,"Adopt","Normal","",""
"3hdfqk3","Tabnine","","","Monday, October 3rd 2022, 10:34:16 am +02:00",2023.1,"Assess","Normal","",""
"3kca62w","GitHub Copilot","","","Tuesday, October 11th 2022, 10:44:40 am +02:00",2023.1,"Adopt","Normal","",""
"865c08fdr","OtterPilot","","","Thursday, March 23rd 2023, 4:19:27 pm +01:00",2023.1,"Trial","Normal","",""
"21pd4bq","Salesforce Loyalty","","","Tuesday, March 1st 2022, 11:05:31 am +01:00",2022.1,"Assess","High","true",""
"21pdtmz","IoT Cloud Salesforce","","","Tuesday, March 1st 2022, 12:03:26 pm +01:00",2022.1,"Assess","Normal","",""
"21pdthz","Salesforce Revenue Cloud Salesforce","","","Tuesday, March 1st 2022, 12:03:03 pm +01:00",2022.1,"Assess","Normal","",""
"21pdp19","Salesforce Service Voice","","","Tuesday, March 1st 2022, 11:51:47 am +01:00",2022.1,"Adopt","High","",""
"21pdrpk","RIO Education","","","Tuesday, March 1st 2022, 11:59:49 am +01:00",2022.1,"Adopt","High","true",""
"865bvzh2u","Chargebee","","","Friday, March 3rd 2023, 2:33:45 pm +01:00",2023.1,"Assess","","",""
